,AIRFLOW_CTX_DAG_OWNER,AIRFLOW_CTX_DAG_ID,AIRFLOW_CTX_TASK_ID,AIRFLOW_CTX_EXECUTION_DATE,AIRFLOW_CTX_TRY_NUMBER,AIRFLOW_CTX_DAG_RUN_ID
0,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
1,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
2,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
3,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
4,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
5,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
6,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
7,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
8,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
9,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
10,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
11,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
12,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
13,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
14,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
15,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
16,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
17,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
18,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
19,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
20,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
21,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
22,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
23,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
24,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
25,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
26,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
27,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
28,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
29,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
30,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
31,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
32,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
33,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
34,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
35,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
36,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
37,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
38,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
39,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
40,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
41,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
42,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
43,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
44,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
45,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
46,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
47,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
48,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
49,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
50,***,extrair_logs_***,extrair_logs_dag_conexao,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
